"id","parent_id","keterangan","created_at","updated_at","no_urut"
f8e98804-86b1-4b72-886c-cefa4ed4ce7b,"1","1. Pelaksanaan tugas",2024-03-03 19:39:00.000,2024-01-03 19:38:07.000,1
fa1ff15e-6ac5-41f4-8b7d-9565588da20e,"1","2. Pelaksanaan Opsin",2024-04-03 19:40:00.000,2024-01-03 19:15:25.000,2
bbd7ca4c-3f7e-4314-9af4-eb349b01e85c,"1","3. Cekal",2024-05-03 19:41:00.000,2024-01-03 19:15:25.000,3
"0d1d8616-3d37-4cd7-b485-bddf827d5087","1","4. Pora",2024-06-03 19:42:00.000,2024-01-03 19:15:25.000,4
"87dd5a93-61b1-4494-b16c-3ddb9aa5d616","1","5. WNA Terlibat Tindak Pidana",2024-07-03 19:43:00.000,2024-01-03 19:15:25.000,5
"74ead024-f286-4ae1-9d8f-92526600c898","1","6. Pam SDO & Penanganan Perkara",2024-08-03 19:44:00.000,2024-01-03 19:15:25.000,6
"9d864751-b18f-4674-95f4-28eead311d81","1","7. Was Barcet",2024-09-03 19:45:00.000,2024-01-03 19:15:25.000,7
c28d0e3a-acc6-424b-ad32-90f30d43e8c3,"1","8. Was Media Komunikasi",2024-10-03 19:46:00.000,2024-01-03 19:15:25.000,8
"4b8e287d-d80e-47b2-83cf-4e5b98c7e603","1","9. Pengobatan Tradisional",2024-11-03 19:47:00.000,2024-01-03 19:15:25.000,9
"57925528-6a68-48da-8918-995b2c82456a","1","10. Pakem",2024-12-03 19:48:00.000,2024-01-03 19:15:25.000,10
c4a13948-f304-42ad-a252-13ae0efcd376,"1","11. Was Aliran Keagamaan",2024-01-03 19:50:00.000,2024-01-03 19:15:25.000,11
dc44bf2b-0bd3-40fe-a0cd-bc23047e5f12,"1","12. Was Ormas",2024-01-03 19:51:00.000,2024-01-03 19:15:25.000,12
fbdff825-94ee-434c-86a8-59df00e1ae6a,"1","13. Trantibum",2024-01-03 19:52:00.000,2024-01-03 19:15:25.000,13
"830767a5-9505-473d-9d69-cbabc1b1dca0","1","14. Binmatkum",2024-01-03 19:53:00.000,2024-01-03 19:15:25.000,14
"1435c3af-7303-4aef-a8d7-42d8e0846f1b","1","15. Pencegahan Konflik Sosial",2024-01-03 19:54:00.000,2024-01-03 19:15:25.000,15
"2605d90f-6ac2-4a52-b00c-4e6ca3bca2cd","1","16. Posko Perwakilan Kejaksaan",2024-01-03 19:55:00.000,2024-01-03 19:15:25.000,16
cb34f975-cbc3-4916-9981-54994d201f8e,"1","17. PPS",2024-01-03 19:56:00.000,2024-01-03 19:15:25.000,17
"86ccfef7-0056-4745-b286-4400f6c145b2","1","18. Tabur",2024-01-03 19:57:00.000,2024-01-03 19:15:25.000,18
"6cd506b2-807f-4e24-9ba6-6c256ccc30be","2","1. Lapinhar",2024-01-03 19:15:25.000,2024-01-03 19:15:25.000,1
"0bed8790-7c4c-4479-b0f1-758657a3e164","2","2. Lapinsus",2024-01-03 19:16:25.000,2024-01-03 19:15:25.000,2
afd88adc-2488-440a-8f58-e7c54d84e663,"2","3. LIK",2024-01-03 19:17:25.000,2024-01-03 19:15:25.000,3
"208b4f27-3dfe-4daf-8de2-cb2c0688f108","2","4. Laphastug",2024-01-03 19:18:25.000,2024-01-03 19:15:25.000,4
abefb73d-5077-4aff-914a-c91d4eb8eb7e,"2","5. Lapopsin",2024-01-03 19:19:25.000,2024-01-03 19:15:25.000,5
"0339313e-cf2c-4159-a822-865c6ec83282","2","6. Lapat",2024-01-03 19:20:25.000,2024-01-03 19:15:25.000,6
e53bdeea-c100-43ba-a44e-a8c09283b295,"2","7. Lahin",2024-01-03 19:21:25.000,2024-01-03 19:15:25.000,7
d07c7f1e-2d96-4158-9ed2-fd27ed15fa21,"2","8. Kirka Intelijen",2024-01-03 19:22:25.000,2024-01-03 19:15:25.000,8
"08ed0aba-1274-450f-aecc-236be3e9f731","2","9. Troop Info",2024-01-03 19:23:25.000,2024-01-03 19:15:25.000,9
"5c6de6a4-33bc-4d5e-9c71-d3782c988868","2","10. Lap. Produk Intel Lainnya",2024-01-03 19:24:25.000,2024-01-03 19:15:25.000,10
